RunCollatz < RunCollatz.in
8781 67 262
1401 5750 238
39 7936 262
4341 1798 238
7047 2335 262
9431 2387 262
8217 2691 262
8847 4983 262
3493 1186 217
7852 6215 257
8953 3815 262
8242 7341 252
5754 931 238
2191 8865 262
5631 8255 262
4673 7187 262
9288 763 262
8698 6073 262
4222 9326 262
1661 9390 262
1777 7621 262
311 7443 262
2425 9993 262
7530 5510 262
8076 2270 262
6084 5381 236
2721 7028 262
4310 4325 171
3189 8475 262
3081 6500 262
39 5171 238
5933 7753 262
177 9326 262
8652 983 262
372 4399 238
8371 6664 257
458 2148 182
8492 5033 262
542 9235 262
1504 6022 238
7754 8617 252
1997 3939 238
8264 6827 257
1653 6306 262
9158 7804 252
9327 4733 262
8837 9196 247
8521 5259 262
2593 9013 262
9763 3524 262
6539 2965 262
1464 8133 262
3166 3349 199
2583 6308 262
2329 59 183
5028 438 238
4376 6434 262
3260 7024 262
3329 8991 262
3147 4912 238
5996 2486 238
8033 2473 262
4083 4832 215
197 2906 209
6429 6676 244
9640 9959 242
4444 9320 262
2668 7455 262
3762 3961 189
371 1602 182
2039 2442 183
8876 5398 262
2421 6414 262
1757 8487 262
3399 2102 217
939 4903 238
7375 5746 262
6930 5324 262
8229 1457 262
8132 7126 252
3436 1009 217
6680 4123 262
1578 4231 238
8191 9347 260
948 1691 182
4133 4914 215
311 9338 262
5752 3008 238
1494 9084 262
7537 7508 208
2410 1244 183
6990 4827 262
150 6136 238
7592 3919 262
7396 8378 252
5739 5724 174
6198 831 262
1414 2418 183
8117 7775 252
9466 5956 262
869 5416 238
4754 9950 262
2957 1180 217
6615 6857 182
716 802 153
8398 4151 262
8977 9477 260
5612 1739 238
2009 9127 262
3856 3203 238
5278 9404 262
6586 9594 260
2012 1476 180
5602 7999 262
307 128 128
5543 1419 238
1368 1175 177
2354 6648 262
3504 4324 238
1478 8968 262
9470 4219 262
3695 6227 262
7965 8447 234
3925 9306 262
8861 9973 260
5728 7780 262
3726 4138 189
1965 8665 262
3016 5737 238
2216 7567 262
8985 3322 262
4496 4110 215
758 353 171
1028 3202 217
8521 4261 262
4832 8857 262
5083 7991 262
2789 8526 262
4184 3047 238
9371 6713 260
4492 3044 238
3533 1450 217
6467 8217 257
305 5498 238
3064 9482 262
9155 8872 247
2982 8400 262
8752 2 262
3203 91 217
703 6132 238
4988 8076 262
6066 5534 236
412 71 144
9469 5206 262
1918 947 182
3990 5192 215
2993 2761 217
7330 3874 262
9371 9459 185
5292 7634 262
2858 8786 262
3538 798 217
800 2191 182
2281 2289 152
4772 354 238
8429 9335 260
1221 9760 262
6182 846 262
6051 7984 262
8930 2002 262
7193 4320 262
7081 9271 260
3144 6538 262
2348 4410 238
8395 8867 216
4004 7640 262
4789 7604 262
9794 7541 260
6182 5588 262
5942 8426 262
4113 953 238
7064 722 262
1568 5333 238
3316 3245 168
5247 3970 215
8290 2245 262
1515 8791 262
5328 1722 238
6131 1010 238
9876 7676 260
1667 877 182
8481 232 262
7772 6455 257
2043 4626 238
9404 305 262
1258 4336 238
5057 3516 238
8848 4673 262
7918 2976 262
6946 8515 252
759 3164 217
1954 1587 180
3308 8625 262
9634 7282 260
1309 5790 238
3018 5862 238
6093 2975 238
9429 7850 260
2476 216 209
